City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
373,marrakesh,31.6315,-8.0083,20.04,32,0,3.6,MA,1676232477
374,mayumba,-3.432,10.6554,26.63,90,100,3.16,GA,1676232612
375,garcia hernandez,9.6144,124.2946,24.55,87,100,3.4,PH,1676232758
376,prainha,-1.8,-53.48,31.39,54,96,1.49,BR,1676232759
377,sur,22.5667,59.5289,21.14,62,0,2.57,OM,1676232760
378,kushmurun,52.4503,64.6311,-19.53,99,72,3.32,KZ,1676232760
379,paita,-5.0892,-81.1144,27.81,63,29,6.66,PE,1676232761
380,kalmunai,7.4167,81.8167,22.58,82,82,2.57,LK,1676232562
381,marawi,7.9986,124.2928,19.23,96,100,0.23,PH,1676232480
382,flinders,-34.5833,150.8552,18.99,89,100,0.89,AU,1676232558
383,takoradi,4.8845,-1.7554,27.28,85,9,3.72,GH,1676232762
384,lima,-12.0432,-77.0282,25.14,69,0,6.17,PE,1676232507
385,manubul,5.4732,120.7986,26.73,80,81,3.85,PH,1676232763
386,khani,41.9563,42.9566,-1.24,91,99,1.11,GE,1676232472
387,muroto,33.2833,134.15,12.94,86,100,6.11,JP,1676232764
388,port keats,-14.25,129.55,24.52,89,100,3.14,AU,1676232765
389,tanout,14.9709,8.8879,22.18,14,0,6.86,NE,1676232765
390,mogadishu,2.0371,45.3438,24.85,85,0,10.15,SO,1676232766
391,port blair,11.6667,92.75,24.55,71,81,3.2,IN,1676232766
392,marzuq,14.4,46.4667,16.17,22,9,2.75,YE,1676232767
393,biak,-0.9131,122.8766,25.02,77,100,1.61,ID,1676232768
394,damara,4.9608,18.7035,28.86,18,95,0.66,CF,1676232768
395,storforshei,66.4043,14.5233,2.88,80,75,8.75,NO,1676232769
396,murgab,37.4966,61.9714,5.15,73,100,5.02,TM,1676232769
397,meulaboh,4.1363,96.1285,24.4,89,100,2.43,ID,1676232770
398,impfondo,1.6381,18.0667,27.8,29,100,0.46,CG,1676232770
